대여일자,남성,여성,내국인,비회원,1920~1929,1930~1939,1940~1949,1950~1959,1960~1969,1970~1979,1980~1989,1990~1999,2000~2009,2010~2019,대여,기타회원,기온(°C),강수량(mm),풍속(m/s),습도(%),적설(cm),전운량(10분위),지면온도(°C),1시간평균 미세먼지농도(㎍/㎥)
2022-07-01 00:00:00,957.0,278.0,1235.0,0.0,0.0,2.0,1.0,20.0,101.0,153.0,195.0,519.0,244.0,0.0,1235.0,787,21.9,,1.1,99,,10,21.9,8
2022-07-01 01:00:00,868.0,203.0,1071.0,0.0,0.0,2.0,2.0,31.0,122.0,148.0,180.0,434.0,152.0,0.0,1071.0,723,22.3,,1.1,99,,6,21.9,14
2022-07-01 02:00:00,624.0,123.0,747.0,0.0,0.0,0.0,1.0,31.0,107.0,96.0,122.0,274.0,115.0,1.0,747.0,546,22.4,,1.9,99,,10,21.7,15
2022-07-01 03:00:00,347.0,67.0,414.0,0.0,0.0,0.0,1.0,13.0,79.0,69.0,65.0,131.0,56.0,0.0,414.0,306,22.6,,0.1,99,,9,21.7,22
2022-07-01 04:00:00,288.0,70.0,358.0,0.0,0.0,0.0,1.0,23.0,66.0,62.0,61.0,94.0,51.0,0.0,358.0,225,22.9,,0.9,99,,9,22.2,20
2022-07-01 05:00:00,536.0,200.0,736.0,0.0,0.0,1.0,7.0,35.0,122.0,156.0,151.0,204.0,60.0,0.0,736.0,502,22.9,,0.6,99,,9,22.2,16
2022-07-01 06:00:00,1295.0,517.0,1812.0,0.0,0.0,1.0,9.0,73.0,260.0,398.0,432.0,523.0,115.0,0.0,1812.0,1022,23.0,,1.3,99,,9,22.4,18
2022-07-01 07:00:00,3054.0,1447.0,4501.0,0.0,0.0,1.0,4.0,104.0,429.0,903.0,1021.0,1401.0,635.0,1.0,4501.0,2726,23.4,,1.5,99,,9,23.6,24
2022-07-01 08:00:00,4209.0,2851.0,7060.0,0.0,0.0,3.0,25.0,117.0,512.0,1251.0,1892.0,2829.0,428.0,3.0,7060.0,4549,23.9,,1.6,99,,9,25.0,18
2022-07-01 09:00:00,2319.0,1672.0,3991.0,0.0,0.0,1.0,17.0,92.0,349.0,576.0,952.0,1525.0,478.0,0.0,3991.0,2427,25.6,,2.0,95,,5,31.2,20
2022-07-01 10:00:00,1831.0,1369.0,3200.0,0.0,0.0,3.0,19.0,67.0,317.0,512.0,643.0,1031.0,608.0,0.0,3200.0,1996,26.9,,2.7,85,,8,31.6,14
2022-07-01 11:00:00,2069.0,1387.0,3456.0,0.0,0.0,1.0,21.0,64.0,333.0,544.0,734.0,1190.0,567.0,2.0,3456.0,2143,27.6,,2.1,80,,3,34.1,34
2022-07-01 12:00:00,2319.0,1525.0,3844.0,0.0,0.0,1.0,19.0,82.0,352.0,557.0,774.0,1412.0,646.0,0.0,3844.0,2447,28.6,,2.2,74,,7,34.0,19
2022-07-01 13:00:00,2044.0,1373.0,3417.0,0.0,0.0,0.0,13.0,73.0,304.0,502.0,678.0,1308.0,539.0,0.0,3417.0,2262,29.7,,3.1,68,,7,35.5,29
2022-07-01 14:00:00,2006.0,1426.0,3432.0,0.0,0.0,5.0,18.0,91.0,310.0,502.0,636.0,1229.0,637.0,4.0,3432.0,2119,30.2,,3.3,65,,6,35.7,27
2022-07-01 15:00:00,2343.0,1586.0,3929.0,0.0,0.0,2.0,16.0,98.0,350.0,546.0,696.0,1417.0,802.0,0.0,3929.0,2432,30.6,,3.7,66,,3,38.0,24
2022-07-01 16:00:00,3006.0,1933.0,4939.0,0.0,0.0,2.0,13.0,108.0,440.0,753.0,947.0,1758.0,916.0,1.0,4939.0,3183,30.7,,3.5,64,,4,35.9,16
2022-07-01 17:00:00,4561.0,2926.0,7487.0,0.0,1.0,4.0,14.0,118.0,531.0,1250.0,1698.0,2810.0,1060.0,1.0,7487.0,4943,30.8,,3.6,63,,4,34.8,24
2022-07-01 18:00:00,6335.0,4382.0,10717.0,0.0,0.0,2.0,10.0,118.0,747.0,1719.0,2713.0,4318.0,1086.0,3.0,10717.0,6988,30.0,,3.1,65,,2,30.2,23
2022-07-01 19:00:00,4623.0,3324.0,7947.0,0.0,0.0,2.0,17.0,89.0,588.0,1225.0,1725.0,3193.0,1104.0,2.0,7947.0,5142,29.7,,2.4,68,,2,28.0,22
2022-07-01 20:00:00,3737.0,2937.0,6674.0,0.0,0.0,2.0,10.0,72.0,438.0,858.0,1409.0,2798.0,1085.0,1.0,6674.0,4438,28.0,,2.6,77,,0,26.4,19
2022-07-01 21:00:00,3607.0,2579.0,6186.0,0.0,0.0,1.0,6.0,62.0,381.0,757.0,1116.0,2712.0,1149.0,2.0,6186.0,4173,26.9,,2.6,81,,4,25.0,16
2022-07-01 23:00:00,2428.0,1284.0,3712.0,0.0,0.0,1.0,0.0,24.0,184.0,359.0,576.0,1695.0,869.0,0.0,3712.0,2705,25.9,,1.2,86,,7,24.0,8
2022-07-02 00:00:00,2238.0,837.0,3075.0,0.0,0.0,2.0,6.0,20.0,196.0,244.0,511.0,1347.0,748.0,1.0,3075.0,2188,25.4,,1.1,87,,6,23.7,8
2022-07-02 01:00:00,1801.0,574.0,2375.0,0.0,0.0,1.0,2.0,41.0,207.0,253.0,364.0,984.0,522.0,0.0,2375.0,1768,25.1,,0.4,87,,7,23.5,16
2022-07-02 02:00:00,1280.0,339.0,1619.0,0.0,0.0,2.0,8.0,33.0,172.0,162.0,226.0,710.0,305.0,1.0,1619.0,1217,24.9,,0.6,88,,8,23.6,10
2022-07-02 03:00:00,843.0,184.0,1027.0,0.0,0.0,1.0,2.0,24.0,134.0,118.0,140.0,431.0,176.0,1.0,1027.0,737,24.6,,0.6,88,,7,22.9,19
2022-07-02 04:00:00,560.0,161.0,721.0,0.0,0.0,0.0,4.0,26.0,119.0,110.0,91.0,261.0,110.0,0.0,721.0,464,24.3,,1.2,91,,8,22.7,19
2022-07-02 05:00:00,591.0,206.0,797.0,0.0,0.0,0.0,5.0,38.0,144.0,144.0,113.0,261.0,92.0,0.0,797.0,512,24.2,,1.2,92,,8,22.6,21
2022-07-02 06:00:00,729.0,400.0,1129.0,0.0,0.0,0.0,11.0,59.0,198.0,242.0,207.0,309.0,103.0,0.0,1129.0,699,24.0,,1.3,92,,8,23.2,14
2022-07-02 07:00:00,1095.0,674.0,1769.0,0.0,0.0,0.0,10.0,65.0,233.0,327.0,330.0,614.0,189.0,1.0,1769.0,1092,24.6,,1.4,92,,5,23.9,19
2022-07-02 08:00:00,1598.0,1105.0,2703.0,0.0,0.0,0.0,13.0,70.0,312.0,467.0,580.0,1011.0,248.0,1.0,2703.0,1692,26.1,,2.0,87,,2,29.1,27
2022-07-02 09:00:00,1860.0,1427.0,3287.0,0.0,0.0,2.0,11.0,63.0,301.0,546.0,651.0,1307.0,406.0,0.0,3287.0,2045,27.9,,1.2,77,,6,33.1,10
2022-07-02 10:00:00,1888.0,1362.0,3250.0,0.0,0.0,0.0,10.0,73.0,278.0,500.0,708.0,1285.0,396.0,0.0,3250.0,2246,29.2,,1.8,69,,6,36.6,14
2022-07-02 11:00:00,2059.0,1478.0,3537.0,0.0,0.0,0.0,8.0,61.0,265.0,566.0,741.0,1476.0,419.0,1.0,3537.0,2372,30.3,,1.4,66,,6,39.4,32
2022-07-02 12:00:00,2244.0,1532.0,3776.0,0.0,0.0,1.0,3.0,56.0,280.0,480.0,803.0,1617.0,535.0,0.0,3776.0,2391,31.1,,1.9,62,,5,40.6,24
2022-07-02 13:00:00,2301.0,1476.0,3777.0,0.0,0.0,2.0,9.0,57.0,232.0,528.0,755.0,1614.0,580.0,0.0,3777.0,2599,32.1,,1.7,59,,6,39.1,32
2022-07-02 14:00:00,2181.0,1481.0,3662.0,0.0,0.0,1.0,7.0,52.0,224.0,502.0,664.0,1570.0,640.0,2.0,3662.0,2564,32.0,,1.2,55,,6,36.5,34
2022-07-02 15:00:00,2266.0,1487.0,3753.0,0.0,0.0,2.0,7.0,44.0,257.0,524.0,733.0,1526.0,659.0,1.0,3753.0,2422,33.4,,1.6,51,,4,40.8,32
2022-07-02 16:00:00,2650.0,1737.0,4387.0,0.0,0.0,0.0,6.0,73.0,294.0,604.0,845.0,1803.0,759.0,1.0,4387.0,2714,33.7,,2.6,54,,4,39.1,35
2022-07-02 17:00:00,3010.0,1873.0,4883.0,0.0,0.0,5.0,9.0,67.0,312.0,665.0,895.0,2087.0,839.0,3.0,4883.0,3121,33.5,,1.7,57,,3,36.8,56
2022-07-02 18:00:00,3151.0,2109.0,5260.0,0.0,0.0,0.0,12.0,72.0,380.0,702.0,978.0,2162.0,951.0,1.0,5260.0,3386,33.1,,2.9,57,,3,33.5,48
2022-07-02 19:00:00,3151.0,2137.0,5288.0,0.0,0.0,0.0,16.0,55.0,339.0,703.0,1083.0,2157.0,929.0,4.0,5288.0,3365,32.0,,2.4,65,,2,30.1,70
2022-07-02 20:00:00,3236.0,2404.0,5640.0,0.0,0.0,9.0,9.0,87.0,337.0,710.0,1085.0,2359.0,1042.0,1.0,5640.0,3702,30.2,,2.6,70,,0,27.7,55
2022-07-02 21:00:00,3221.0,2268.0,5489.0,0.0,0.0,4.0,5.0,55.0,298.0,581.0,1017.0,2480.0,1049.0,0.0,5489.0,3838,29.2,,2.0,72,,0,26.5,35
2022-07-02 22:00:00,2937.0,1821.0,4758.0,0.0,0.0,2.0,13.0,32.0,219.0,418.0,761.0,2177.0,1135.0,1.0,4758.0,3228,28.3,,1.3,80,,0,25.7,24
2022-07-02 23:00:00,2376.0,1216.0,3592.0,0.0,0.0,2.0,4.0,15.0,161.0,276.0,528.0,1697.0,907.0,0.0,3592.0,2370,27.7,,1.9,81,,0,25.2,28
2022-07-03 00:00:00,2245.0,835.0,3080.0,0.0,0.0,0.0,2.0,35.0,125.0,231.0,478.0,1410.0,795.0,0.0,3080.0,2180,27.1,,1.6,83,,0,24.7,26
2022-07-03 01:00:00,1542.0,562.0,2104.0,0.0,0.0,2.0,4.0,30.0,147.0,175.0,292.0,962.0,488.0,1.0,2104.0,1475,26.5,,1.3,83,,1,24.3,23
2022-07-03 02:00:00,1079.0,308.0,1387.0,0.0,0.0,0.0,1.0,30.0,122.0,133.0,182.0,606.0,311.0,2.0,1387.0,1061,25.8,,1.5,85,,1,23.8,37
2022-07-03 03:00:00,680.0,144.0,824.0,0.0,0.0,0.0,1.0,16.0,91.0,90.0,117.0,309.0,200.0,0.0,824.0,589,25.3,,0.7,87,,1,23.4,39
2022-07-03 04:00:00,500.0,131.0,631.0,0.0,0.0,1.0,4.0,24.0,67.0,77.0,87.0,237.0,133.0,1.0,631.0,420,24.9,,0.4,85,,0,23.1,40
2022-07-03 05:00:00,433.0,183.0,616.0,0.0,0.0,0.0,1.0,40.0,84.0,82.0,78.0,192.0,139.0,0.0,616.0,430,24.7,,0.3,87,,1,22.9,34
2022-07-03 06:00:00,597.0,332.0,929.0,0.0,0.0,0.0,10.0,35.0,166.0,187.0,167.0,263.0,101.0,0.0,929.0,607,24.5,,0.9,85,,3,23.2,35
2022-07-03 07:00:00,826.0,453.0,1279.0,0.0,0.0,0.0,7.0,51.0,188.0,255.0,233.0,406.0,139.0,0.0,1279.0,810,25.0,,0.9,86,,3,24.8,29
2022-07-03 08:00:00,1178.0,684.0,1862.0,0.0,0.0,0.0,2.0,60.0,195.0,347.0,390.0,639.0,227.0,1.0,1862.0,1137,26.7,,1.4,82,,6,29.0,34
2022-07-03 09:00:00,1231.0,891.0,2122.0,0.0,0.0,2.0,8.0,48.0,205.0,358.0,432.0,817.0,252.0,0.0,2122.0,1480,28.3,,0.8,76,,3,33.9,31
2022-07-03 10:00:00,1486.0,890.0,2376.0,0.0,0.0,2.0,7.0,56.0,188.0,393.0,493.0,899.0,337.0,0.0,2376.0,1666,30.3,,1.5,59,,3,37.5,35
2022-07-03 11:00:00,1628.0,1027.0,2655.0,0.0,0.0,1.0,3.0,37.0,160.0,411.0,581.0,1085.0,374.0,1.0,2655.0,1722,31.9,,1.6,54,,4,39.7,37
