대여일자,대여,기온(°C),습도(%),지면온도(°C),미세먼지,년,월,일,시간,요일,계절,바람,공휴일,주중,비,눈,구름
2021-01-01 00:00:00,388.0,-8.3,66,-6.8,1,2024,1,1,0,4,3,0,0,1,0,0,0
2021-01-01 01:00:00,339.0,-8.7,68,-6.9,0,2024,1,1,1,4,3,0,0,1,0,0,0
2021-01-01 02:00:00,258.0,-9.1,69,-7.1,1,2024,1,1,2,4,3,0,0,1,0,0,0
2021-01-01 03:00:00,204.0,-9.3,70,-7.3,1,2024,1,1,3,4,3,0,0,1,0,0,0
2021-01-01 04:00:00,145.0,-9.3,71,-7.5,0,2024,1,1,4,4,3,0,0,1,0,0,0
2021-01-01 05:00:00,154.0,-9.7,72,-7.6,1,2024,1,1,5,4,3,0,0,1,0,0,0
2021-01-01 06:00:00,287.0,-9.7,75,-7.4,1,2024,1,1,6,4,3,0,0,1,0,0,2
2021-01-01 07:00:00,526.0,-9.3,71,-6.8,0,2024,1,1,7,4,3,0,0,1,0,0,2
2021-01-01 08:00:00,460.0,-9.3,72,-7.3,1,2024,1,1,8,4,3,0,0,1,0,0,0
2021-01-01 09:00:00,542.0,-8.6,74,-6.2,1,2024,1,1,9,4,3,0,0,1,0,0,0
2021-01-01 10:00:00,670.0,-6.1,68,-3.4,0,2024,1,1,10,4,3,0,0,1,0,0,0
2021-01-01 11:00:00,919.0,-3.2,55,-0.5,1,2024,1,1,11,4,3,0,0,1,0,0,0
2021-01-01 12:00:00,1279.0,-1.1,52,1.5,1,2024,1,1,12,4,3,0,0,1,0,0,2
2021-01-01 13:00:00,1546.0,-0.2,56,3.3,1,2024,1,1,13,4,3,3,0,1,0,0,1
2021-01-01 14:00:00,2025.0,1.4,53,4.3,1,2024,1,1,14,4,3,0,0,1,0,0,0
2021-01-01 15:00:00,2209.0,1.2,52,1.4,1,2024,1,1,15,4,3,0,0,1,0,0,1
2021-01-01 16:00:00,2118.0,-0.2,58,-0.2,1,2024,1,1,16,4,3,3,0,1,0,0,1
